有效点有27个
k = 10
n = 1000
count = 351
          ((43, 16), (62, 31)), dis = 24.21
          ((43, 16), (17, 92)), dis = 80.32
          ((43, 16), (44, 75)), dis = 59.01
          ((43, 16), (29, 93)), dis = 78.26
          ((43, 16), (28, 33)), dis = 22.67
            ((43, 16), (7, 1)), dis = 39.00
          ((43, 16), (79, 23)), dis = 36.67
          ((43, 16), (72, 66)), dis = 57.80
          ((43, 16), (96, 64)), dis = 71.51
          ((43, 16), (62, 24)), dis = 20.62
          ((43, 16), (69, 76)), dis = 65.39
          ((43, 16), (90, 23)), dis = 47.52
          ((43, 16), (32, 28)), dis = 16.28
          ((43, 16), (23, 60)), dis = 48.33
           ((43, 16), (8, 87)), dis = 79.16
          ((43, 16), (89, 26)), dis = 47.07
         ((43, 16), (100, 92)), dis = 95.00
          ((43, 16), (34, 80)), dis = 64.63
          ((43, 16), (35, 28)), dis = 14.42
           ((43, 16), (95, 4)), dis = 53.37
          ((43, 16), (37, 59)), dis = 43.42
           ((43, 16), (16, 3)), dis = 29.97
          ((43, 16), (36, 56)), dis = 40.61
          ((43, 16), (90, 45)), dis = 55.23
          ((43, 16), (43, 12)), dis = 4.00
          ((43, 16), (53, 47)), dis = 32.57
          ((62, 31), (17, 92)), dis = 75.80
          ((62, 31), (44, 75)), dis = 47.54
          ((62, 31), (29, 93)), dis = 70.24
          ((62, 31), (28, 33)), dis = 34.06
            ((62, 31), (7, 1)), dis = 62.65
          ((62, 31), (79, 23)), dis = 18.79
          ((62, 31), (72, 66)), dis = 36.40
          ((62, 31), (96, 64)), dis = 47.38
          ((62, 31), (62, 24)), dis = 7.00
          ((62, 31), (69, 76)), dis = 45.54
          ((62, 31), (90, 23)), dis = 29.12
          ((62, 31), (32, 28)), dis = 30.15
          ((62, 31), (23, 60)), dis = 48.60
           ((62, 31), (8, 87)), dis = 77.79
          ((62, 31), (89, 26)), dis = 27.46
         ((62, 31), (100, 92)), dis = 71.87
          ((62, 31), (34, 80)), dis = 56.44
          ((62, 31), (35, 28)), dis = 27.17
           ((62, 31), (95, 4)), dis = 42.64
          ((62, 31), (37, 59)), dis = 37.54
           ((62, 31), (16, 3)), dis = 53.85
          ((62, 31), (36, 56)), dis = 36.07
          ((62, 31), (90, 45)), dis = 31.30
          ((62, 31), (43, 12)), dis = 26.87
          ((62, 31), (53, 47)), dis = 18.36
          ((17, 92), (44, 75)), dis = 31.91
          ((17, 92), (29, 93)), dis = 12.04
          ((17, 92), (28, 33)), dis = 60.02
            ((17, 92), (7, 1)), dis = 91.55
          ((17, 92), (79, 23)), dis = 92.76
          ((17, 92), (72, 66)), dis = 60.84
          ((17, 92), (96, 64)), dis = 83.82
          ((17, 92), (62, 24)), dis = 81.54
          ((17, 92), (69, 76)), dis = 54.41
          ((17, 92), (90, 23)), dis = 100.45
          ((17, 92), (32, 28)), dis = 65.73
          ((17, 92), (23, 60)), dis = 32.56
           ((17, 92), (8, 87)), dis = 10.30
          ((17, 92), (89, 26)), dis = 97.67
         ((17, 92), (100, 92)), dis = 83.00
          ((17, 92), (34, 80)), dis = 20.81
          ((17, 92), (35, 28)), dis = 66.48
           ((17, 92), (95, 4)), dis = 117.59
          ((17, 92), (37, 59)), dis = 38.59
           ((17, 92), (16, 3)), dis = 89.01
          ((17, 92), (36, 56)), dis = 40.71
          ((17, 92), (90, 45)), dis = 86.82
          ((17, 92), (43, 12)), dis = 84.12
          ((17, 92), (53, 47)), dis = 57.63
          ((44, 75), (29, 93)), dis = 23.43
          ((44, 75), (28, 33)), dis = 44.94
            ((44, 75), (7, 1)), dis = 82.73
          ((44, 75), (79, 23)), dis = 62.68
          ((44, 75), (72, 66)), dis = 29.41
          ((44, 75), (96, 64)), dis = 53.15
          ((44, 75), (62, 24)), dis = 54.08
          ((44, 75), (69, 76)), dis = 25.02
          ((44, 75), (90, 23)), dis = 69.43
          ((44, 75), (32, 28)), dis = 48.51
          ((44, 75), (23, 60)), dis = 25.81
           ((44, 75), (8, 87)), dis = 37.95
          ((44, 75), (89, 26)), dis = 66.53
         ((44, 75), (100, 92)), dis = 58.52
          ((44, 75), (34, 80)), dis = 11.18
          ((44, 75), (35, 28)), dis = 47.85
           ((44, 75), (95, 4)), dis = 87.42
          ((44, 75), (37, 59)), dis = 17.46
           ((44, 75), (16, 3)), dis = 77.25
          ((44, 75), (36, 56)), dis = 20.62
          ((44, 75), (90, 45)), dis = 54.92
          ((44, 75), (43, 12)), dis = 63.01
          ((44, 75), (53, 47)), dis = 29.41
          ((29, 93), (28, 33)), dis = 60.01
            ((29, 93), (7, 1)), dis = 94.59
          ((29, 93), (79, 23)), dis = 86.02
          ((29, 93), (72, 66)), dis = 50.77
          ((29, 93), (96, 64)), dis = 73.01
          ((29, 93), (62, 24)), dis = 76.49
          ((29, 93), (69, 76)), dis = 43.46
          ((29, 93), (90, 23)), dis = 92.85
          ((29, 93), (32, 28)), dis = 65.07
          ((29, 93), (23, 60)), dis = 33.54
           ((29, 93), (8, 87)), dis = 21.84
          ((29, 93), (89, 26)), dis = 89.94
         ((29, 93), (100, 92)), dis = 71.01
          ((29, 93), (34, 80)), dis = 13.93
          ((29, 93), (35, 28)), dis = 65.28
           ((29, 93), (95, 4)), dis = 110.80
          ((29, 93), (37, 59)), dis = 34.93
           ((29, 93), (16, 3)), dis = 90.93
          ((29, 93), (36, 56)), dis = 37.66
          ((29, 93), (90, 45)), dis = 77.62
          ((29, 93), (43, 12)), dis = 82.20
          ((29, 93), (53, 47)), dis = 51.88
            ((28, 33), (7, 1)), dis = 38.28
          ((28, 33), (79, 23)), dis = 51.97
          ((28, 33), (72, 66)), dis = 55.00
          ((28, 33), (96, 64)), dis = 74.73
          ((28, 33), (62, 24)), dis = 35.17
          ((28, 33), (69, 76)), dis = 59.41
          ((28, 33), (90, 23)), dis = 62.80
          ((28, 33), (32, 28)), dis = 6.40
          ((28, 33), (23, 60)), dis = 27.46
           ((28, 33), (8, 87)), dis = 57.58
          ((28, 33), (89, 26)), dis = 61.40
         ((28, 33), (100, 92)), dis = 93.09
          ((28, 33), (34, 80)), dis = 47.38
          ((28, 33), (35, 28)), dis = 8.60
           ((28, 33), (95, 4)), dis = 73.01
          ((28, 33), (37, 59)), dis = 27.51
           ((28, 33), (16, 3)), dis = 32.31
          ((28, 33), (36, 56)), dis = 24.35
          ((28, 33), (90, 45)), dis = 63.15
          ((28, 33), (43, 12)), dis = 25.81
          ((28, 33), (53, 47)), dis = 28.65
            ((7, 1), (79, 23)), dis = 75.29
            ((7, 1), (72, 66)), dis = 91.92
            ((7, 1), (96, 64)), dis = 109.04
            ((7, 1), (62, 24)), dis = 59.62
            ((7, 1), (69, 76)), dis = 97.31
            ((7, 1), (90, 23)), dis = 85.87
            ((7, 1), (32, 28)), dis = 36.80
            ((7, 1), (23, 60)), dis = 61.13
             ((7, 1), (8, 87)), dis = 86.01
            ((7, 1), (89, 26)), dis = 85.73
           ((7, 1), (100, 92)), dis = 130.12
            ((7, 1), (34, 80)), dis = 83.49
            ((7, 1), (35, 28)), dis = 38.90
             ((7, 1), (95, 4)), dis = 88.05
            ((7, 1), (37, 59)), dis = 65.30
             ((7, 1), (16, 3)), dis = 9.22
            ((7, 1), (36, 56)), dis = 62.18
            ((7, 1), (90, 45)), dis = 93.94
            ((7, 1), (43, 12)), dis = 37.64
            ((7, 1), (53, 47)), dis = 65.05
          ((79, 23), (72, 66)), dis = 43.57
          ((79, 23), (96, 64)), dis = 44.38
          ((79, 23), (62, 24)), dis = 17.03
          ((79, 23), (69, 76)), dis = 53.94
          ((79, 23), (90, 23)), dis = 11.00
          ((79, 23), (32, 28)), dis = 47.27
          ((79, 23), (23, 60)), dis = 67.12
           ((79, 23), (8, 87)), dis = 95.59
          ((79, 23), (89, 26)), dis = 10.44
         ((79, 23), (100, 92)), dis = 72.12
          ((79, 23), (34, 80)), dis = 72.62
          ((79, 23), (35, 28)), dis = 44.28
           ((79, 23), (95, 4)), dis = 24.84
          ((79, 23), (37, 59)), dis = 55.32
           ((79, 23), (16, 3)), dis = 66.10
          ((79, 23), (36, 56)), dis = 54.20
          ((79, 23), (90, 45)), dis = 24.60
          ((79, 23), (43, 12)), dis = 37.64
          ((79, 23), (53, 47)), dis = 35.38
          ((72, 66), (96, 64)), dis = 24.08
          ((72, 66), (62, 24)), dis = 43.17
          ((72, 66), (69, 76)), dis = 10.44
          ((72, 66), (90, 23)), dis = 46.62
          ((72, 66), (32, 28)), dis = 55.17
          ((72, 66), (23, 60)), dis = 49.37
           ((72, 66), (8, 87)), dis = 67.36
          ((72, 66), (89, 26)), dis = 43.46
         ((72, 66), (100, 92)), dis = 38.21
          ((72, 66), (34, 80)), dis = 40.50
          ((72, 66), (35, 28)), dis = 53.04
           ((72, 66), (95, 4)), dis = 66.13
          ((72, 66), (37, 59)), dis = 35.69
           ((72, 66), (16, 3)), dis = 84.29
          ((72, 66), (36, 56)), dis = 37.36
          ((72, 66), (90, 45)), dis = 27.66
          ((72, 66), (43, 12)), dis = 61.29
          ((72, 66), (53, 47)), dis = 26.87
          ((96, 64), (62, 24)), dis = 52.50
          ((96, 64), (69, 76)), dis = 29.55
          ((96, 64), (90, 23)), dis = 41.44
          ((96, 64), (32, 28)), dis = 73.43
          ((96, 64), (23, 60)), dis = 73.11
           ((96, 64), (8, 87)), dis = 90.96
          ((96, 64), (89, 26)), dis = 38.64
         ((96, 64), (100, 92)), dis = 28.28
          ((96, 64), (34, 80)), dis = 64.03
          ((96, 64), (35, 28)), dis = 70.83
           ((96, 64), (95, 4)), dis = 60.01
          ((96, 64), (37, 59)), dis = 59.21
           ((96, 64), (16, 3)), dis = 100.60
          ((96, 64), (36, 56)), dis = 60.53
          ((96, 64), (90, 45)), dis = 19.92
          ((96, 64), (43, 12)), dis = 74.25
          ((96, 64), (53, 47)), dis = 46.24
          ((62, 24), (69, 76)), dis = 52.47
          ((62, 24), (90, 23)), dis = 28.02
          ((62, 24), (32, 28)), dis = 30.27
          ((62, 24), (23, 60)), dis = 53.08
           ((62, 24), (8, 87)), dis = 82.98
          ((62, 24), (89, 26)), dis = 27.07
         ((62, 24), (100, 92)), dis = 77.90
          ((62, 24), (34, 80)), dis = 62.61
          ((62, 24), (35, 28)), dis = 27.29
           ((62, 24), (95, 4)), dis = 38.59
          ((62, 24), (37, 59)), dis = 43.01
           ((62, 24), (16, 3)), dis = 50.57
          ((62, 24), (36, 56)), dis = 41.23
          ((62, 24), (90, 45)), dis = 35.00
          ((62, 24), (43, 12)), dis = 22.47
          ((62, 24), (53, 47)), dis = 24.70
          ((69, 76), (90, 23)), dis = 57.01
